[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[5, 5, 2.321928094887362, 68.8]
[4, 4, 2.0, 89.0]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 106.0]
[3, 3, 1.584962500721156, 100.0]
[6, 6, 2.584962500721156, 75.16666666666667]
[5, 5, 2.321928094887362, 83.2]
[3, 3, 1.584962500721156, 96.33333333333333]
[2, 2, 1.0, 137.5]
[3, 3, 1.584962500721156, 97.0]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[4, 4, 2.0, 90.0]
[5, 5, 2.321928094887362, 77.4]
[4, 4, 2.0, 83.25]
[5, 5, 2.321928094887362, 68.8]
[5, 5, 2.321928094887362, 68.8]
[4, 4, 2.0, 91.0]
[4, 4, 2.0, 91.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 90.0]
[3, 3, 1.584962500721156, 100.0]
[4, 4, 2.0, 91.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 106.0]
[3, 3, 1.584962500721156, 100.0]
[4, 4, 2.0, 90.0]
[4, 4, 2.0, 90.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[5, 5, 2.321928094887362, 77.4]
[5, 5, 2.321928094887362, 68.8]
[5, 5, 2.321928094887362, 68.8]
[4, 4, 2.0, 90.0]
[3, 3, 1.584962500721156, 100.0]
[6, 6, 2.584962500721156, 62.5]
[2, 2, 1.0, 124.5]
[2, 2, 1.0, 124.5]
[4, 4, 2.0, 89.0]
[5, 5, 2.321928094887362, 77.4]
[3, 3, 1.584962500721156, 106.0]
[3, 3, 1.584962500721156, 129.0]
[5, 5, 2.321928094887362, 77.4]
[3, 3, 1.584962500721156, 95.66666666666667]
[6, 6, 2.584962500721156, 75.16666666666667]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 86.66666666666667]
[3, 3, 1.584962500721156, 100.0]
[5, 5, 2.321928094887362, 88.2]
[3, 3, 1.584962500721156, 97.66666666666667]
[5, 5, 2.321928094887362, 75.2]
[1, 1, -0.0, 214.0]
[3, 3, 1.584962500721156, 76.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 89.0]
[5, 5, 2.321928094887362, 68.8]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 95.66666666666667]
[1, 1, -0.0, 214.0]
[4, 4, 2.0, 76.25]
[4, 4, 2.0, 76.25]
[1, 1, -0.0, 214.0]
[4, 4, 2.0, 76.25]
[1, 1, -0.0, 360.0]
[1, 1, -0.0, 200.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 103.33333333333333]
[3, 3, 1.584962500721156, 103.33333333333333]
[2, 2, 1.0, 124.5]
[2, 2, 1.0, 103.0]
[7, 7, 2.807354922057604, 56.142857142857146]
[4, 4, 2.0, 76.25]
[4, 4, 2.0, 89.0]
[4, 4, 2.0, 91.0]
[1, 1, -0.0, 214.0]
[4, 4, 2.0, 89.0]
[3, 3, 1.584962500721156, 100.0]
[2, 2, 1.0, 113.5]
[5, 5, 2.321928094887362, 69.6]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 81.33333333333333]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 86.0]
[1, 1, -0.0, 178.0]
[4, 4, 2.0, 71.0]
[2, 2, 1.0, 121.5]
[3, 3, 1.584962500721156, 73.66666666666667]
[3, 3, 1.584962500721156, 82.0]
[5, 5, 2.321928094887362, 85.0]
[4, 4, 2.0, 90.0]
[4, 4, 2.0, 90.0]
[3, 3, 1.584962500721156, 102.33333333333333]
[4, 4, 2.0, 89.0]
[7, 7, 2.807354922057604, 57.857142857142854]
[5, 5, 2.321928094887362, 77.6]
[7, 7, 2.807354922057604, 56.142857142857146]
[2, 2, 1.0, 125.5]
[3, 3, 1.584962500721156, 100.0]
[5, 5, 2.321928094887362, 67.4]
[6, 6, 2.584962500721156, 70.5]
[7, 7, 2.807354922057604, 72.42857142857143]
[5, 5, 2.321928094887362, 66.8]
[3, 3, 1.584962500721156, 84.0]
[4, 4, 2.0, 71.0]
[4, 4, 2.0, 90.0]
[5, 5, 2.321928094887362, 77.4]
[5, 5, 2.321928094887362, 77.4]
[3, 3, 1.584962500721156, 100.0]
[5, 5, 2.321928094887362, 68.8]
[8, 8, 3.0, 49.25]
[3, 3, 1.584962500721156, 95.66666666666667]
[2, 2, 1.0, 109.5]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 123.33333333333333]
[3, 3, 1.584962500721156, 98.33333333333333]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[2, 2, 1.0, 137.5]
[2, 2, 1.0, 129.5]
[2, 2, 1.0, 124.5]
[3, 3, 1.584962500721156, 76.0]
[1, 1, -0.0, 214.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 95.66666666666667]
[7, 7, 2.807354922057604, 56.142857142857146]
[5, 5, 2.321928094887362, 78.4]
[3, 3, 1.584962500721156, 100.0]
[2, 2, 1.0, 142.0]
[2, 2, 1.0, 124.5]
[1, 1, -0.0, 186.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 100.0]
[3, 3, 1.584962500721156, 100.0]
[7, 7, 2.807354922057604, 56.142857142857146]
[1, 1, -0.0, 214.0]
[1, 1, -0.0, 214.0]
[2, 2, 1.0, 109.5]
[2, 2, 1.0, 109.5]
[3, 3, 1.584962500721156, 86.0]
[3, 3, 1.584962500721156, 86.0]
[5, 5, 2.321928094887362, 56.4]
[3, 3, 1.584962500721156, 83.33333333333333]
[4, 4, 2.0, 74.0]
[3, 3, 1.584962500721156, 83.33333333333333]
[3, 3, 1.584962500721156, 97.66666666666667]
[1, 1, -0.0, 360.0]
[1, 1, -0.0, 172.0]
[1, 1, -0.0, 200.0]
[3, 3, 1.584962500721156, 97.66666666666667]
[3, 3, 1.584962500721156, 81.33333333333333]
[2, 2, 1.0, 109.5]
[3, 3, 1.584962500721156, 99.33333333333333]
[3, 3, 1.584962500721156, 95.66666666666667]
[3, 3, 1.584962500721156, 85.33333333333333]
[3, 3, 1.584962500721156, 99.33333333333333]
[2, 2, 1.0, 124.5]
[8, 8, 3.0, 52.75]
[3, 3, 1.584962500721156, 102.33333333333333]
[2, 2, 1.0, 129.0]
[2, 2, 1.0, 125.5]
[2, 2, 1.0, 124.5]
[3, 3, 1.584962500721156, 86.0]
[2, 2, 1.0, 106.5]
[5, 5, 2.321928094887362, 66.0]
[4, 4, 2.0, 76.25]
[2, 2, 1.0, 124.5]
[5, 5, 2.321928094887362, 69.6]
[3, 3, 1.584962500721156, 97.33333333333333]
[2, 2, 1.0, 116.5]
